fecha,distrito,NO2,PM10,PM2.5,O3,SO2,CO,ICA,calidad,recomendacion
2023-01-01,Centro,37.82,23.54,14.99,42.21,4.8,0.42,2,Moderada,Calidad del aire aceptable para la mayoría de personas
2023-01-02,Centro,59.17,32.68,20.29,39.26,6.7,0.61,2,Moderada,Calidad del aire aceptable para la mayoría de personas
2023-01-03,Centro,54.07,37.79,23.87,29.51,7.14,0.59,2,Moderada,Calidad del aire aceptable para la mayoría de personas
2023-01-04,Centro,45.06,34.0,19.66,33.99,3.52,0.6,2,Moderada,Calidad del aire aceptable para la mayoría de personas
2023-01-05,Centro,62.3,37.81,20.68,39.97,6.15,0.68,2,Moderada,Calidad del aire aceptable para la mayoría de personas
2023-01-06,Centro,43.56,37.8,22.12,36.27,4.3,0.56,2,Moderada,Calidad del aire aceptable para la mayoría de personas
2023-01-07,Centro,37.94,30.33,19.29,46.03,5.57,0.5,2,Moderada,Calidad del aire aceptable para la mayoría de personas
2023-01-08,Centro,39.23,21.68,13.48,37.39,4.58,0.46,2,Moderada,Calidad del aire aceptable para la mayoría de personas
2023-01-09,Centro,56.61,41.81,26.68,43.38,4.93,0.65,3,Mala,Sensibles al aire pueden experimentar síntomas
2023-01-10,Centro,70.83,38.81,23.39,32.34,4.84,0.54,2,Moderada,Calidad del aire aceptable para la mayoría de personas
2023-01-11,Centro,72.53,36.72,21.04,28.31,4.79,0.67,2,Moderada,Calidad del aire aceptable para la mayoría de personas
2023-01-12,Centro,76.36,37.88,23.95,33.45,3.12,0.55,2,Moderada,Calidad del aire aceptable para la mayoría de personas
2023-01-13,Centro,61.18,35.38,20.64,31.53,6.1,0.68,2,Moderada,Calidad del aire aceptable para la mayoría de personas
2023-01-14,Centro,49.07,41.22,22.86,36.82,5.86,0.56,3,Mala,Sensibles al aire pueden experimentar síntomas
2023-01-15,Centro,36.41,26.32,17.25,48.2,4.19,0.4,2,Moderada,Calidad del aire aceptable para la mayoría de personas
2023-01-16,Centro,73.89,35.29,19.19,32.78,6.14,0.71,2,Moderada,Calidad del aire aceptable para la mayoría de personas
2023-01-17,Centro,57.22,37.25,24.06,45.81,3.72,0.64,2,Moderada,Calidad del aire aceptable para la mayoría de personas
2023-01-18,Centro,57.29,34.78,19.62,36.41,7.91,0.58,2,Moderada,Calidad del aire aceptable para la mayoría de personas
2023-01-19,Centro,68.51,35.07,19.19,32.77,4.04,0.6,2,Moderada,Calidad del aire aceptable para la mayoría de personas
2023-01-20,Centro,62.09,40.01,25.61,48.75,6.87,0.58,3,Mala,Sensibles al aire pueden experimentar síntomas
2023-01-21,Centro,53.02,28.98,17.98,41.1,5.16,0.46,2,Moderada,Calidad del aire aceptable para la mayoría de personas
2023-01-22,Centro,43.89,33.47,19.19,45.53,4.24,0.43,2,Moderada,Calidad del aire aceptable para la mayoría de personas
2023-01-23,Centro,62.64,37.51,21.81,40.13,6.98,0.62,2,Moderada,Calidad del aire aceptable para la mayoría de personas
2023-01-24,Centro,58.86,30.44,17.06,46.26,5.05,0.66,2,Moderada,Calidad del aire aceptable para la mayoría de personas
2023-01-25,Centro,52.73,32.45,19.6,35.2,5.78,0.55,2,Moderada,Calidad del aire aceptable para la mayoría de personas
2023-01-26,Centro,57.32,34.19,19.6,47.02,4.97,0.66,2,Moderada,Calidad del aire aceptable para la mayoría de personas
2023-01-27,Centro,60.49,31.03,17.15,44.76,4.21,0.65,2,Moderada,Calidad del aire aceptable para la mayoría de personas
2023-01-28,Centro,46.33,24.85,13.84,39.15,7.17,0.48,2,Moderada,Calidad del aire aceptable para la mayoría de personas
2023-01-29,Centro,37.56,31.1,19.35,47.03,5.58,0.4,2,Moderada,Calidad del aire aceptable para la mayoría de personas
2023-01-30,Centro,51.93,29.79,18.19,44.23,4.34,0.54,2,Moderada,Calidad del aire aceptable para la mayoría de personas
2023-01-31,Centro,59.82,46.09,29.15,49.33,6.2,0.55,3,Mala,Sensibles al aire pueden experimentar síntomas
2023-02-01,Centro,54.52,38.13,22.5,45.47,5.12,0.58,2,Moderada,Calidad del aire aceptable para la mayoría de personas
2023-02-02,Centro,76.32,46.3,27.17,39.29,4.76,0.67,3,Mala,Sensibles al aire pueden experimentar síntomas
2023-02-03,Centro,62.09,46.51,29.2,49.24,6.48,0.61,3,Mala,Sensibles al aire pueden experimentar síntomas
2023-02-04,Centro,51.46,29.09,18.52,27.48,3.94,0.55,2,Moderada,Calidad del aire aceptable para la mayoría de personas
2023-02-05,Centro,39.19,20.89,11.92,38.04,5.86,0.37,2,Moderada,Calidad del aire aceptable para la mayoría de personas
2023-02-06,Centro,51.68,35.6,20.92,30.51,8.7,0.61,2,Moderada,Calidad del aire aceptable para la mayoría de personas
2023-02-07,Centro,55.38,42.83,24.23,54.69,4.46,0.6,3,Mala,Sensibles al aire pueden experimentar síntomas
2023-02-08,Centro,57.95,37.89,24.77,42.79,4.67,0.63,2,Moderada,Calidad del aire aceptable para la mayoría de personas
2023-02-09,Centro,38.97,41.53,24.68,54.4,5.4,0.61,3,Mala,Sensibles al aire pueden experimentar síntomas
2023-02-10,Centro,62.03,31.0,16.81,35.3,4.34,0.62,2,Moderada,Calidad del aire aceptable para la mayoría de personas
2023-02-11,Centro,45.49,36.87,19.91,45.2,7.27,0.51,2,Moderada,Calidad del aire aceptable para la mayoría de personas
2023-02-12,Centro,37.05,28.25,18.18,41.97,4.83,0.46,2,Moderada,Calidad del aire aceptable para la mayoría de personas
2023-02-13,Centro,55.96,23.28,13.68,39.0,5.04,0.52,2,Moderada,Calidad del aire aceptable para la mayoría de personas
2023-02-14,Centro,71.04,35.08,20.07,41.81,7.03,0.66,2,Moderada,Calidad del aire aceptable para la mayoría de personas
2023-02-15,Centro,60.56,32.12,19.96,43.46,6.01,0.48,2,Moderada,Calidad del aire aceptable para la mayoría de personas
2023-02-16,Centro,63.47,32.25,20.0,49.61,3.04,0.62,2,Moderada,Calidad del aire aceptable para la mayoría de personas
2023-02-17,Centro,61.81,38.71,22.82,37.56,6.74,0.6,2,Moderada,Calidad del aire aceptable para la mayoría de personas
2023-02-18,Centro,38.73,26.78,16.15,39.25,8.53,0.52,2,Moderada,Calidad del aire aceptable para la mayoría de personas
2023-02-19,Centro,35.61,28.57,17.01,67.09,4.17,0.41,2,Moderada,Calidad del aire aceptable para la mayoría de personas
2023-02-20,Centro,62.06,32.93,21.69,40.85,3.78,0.59,2,Moderada,Calidad del aire aceptable para la mayoría de personas
2023-02-21,Centro,60.53,24.9,14.51,33.83,5.78,0.57,2,Moderada,Calidad del aire aceptable para la mayoría de personas
2023-02-22,Centro,67.27,42.03,27.16,46.46,7.18,0.6,3,Mala,Sensibles al aire pueden experimentar síntomas
2023-02-23,Centro,70.92,39.37,21.31,31.57,5.04,0.77,2,Moderada,Calidad del aire aceptable para la mayoría de personas
2023-02-24,Centro,62.61,40.08,24.0,35.65,5.01,0.62,3,Mala,Sensibles al aire pueden experimentar síntomas
2023-02-25,Centro,46.57,30.55,18.72,35.51,7.92,0.45,2,Moderada,Calidad del aire aceptable para la mayoría de personas
2023-02-26,Centro,39.72,24.55,14.38,40.04,6.16,0.51,2,Moderada,Calidad del aire aceptable para la mayoría de personas
2023-02-27,Centro,55.72,32.13,18.86,52.02,6.15,0.61,2,Moderada,Calidad del aire aceptable para la mayoría de personas
2023-02-28,Centro,58.97,45.37,24.65,47.33,5.03,0.65,3,Mala,Sensibles al aire pueden experimentar síntomas
2023-03-01,Centro,54.35,25.12,14.12,54.32,4.88,0.61,2,Moderada,Calidad del aire aceptable para la mayoría de personas
