distrito,NO2_mean,NO2_std,NO2_max,PM10_mean,PM10_std,PM10_max,PM2.5_mean,PM2.5_std,PM2.5_max,O3_mean,O3_std,O3_max,SO2_mean,SO2_std,SO2_max,CO_mean,CO_std,CO_max,ICA_mean,ICA_std,ICA_max,dias_buena,dias_mala,dias_moderada,dias_muy mala,porcentaje_dias_buena
Arganzuela,41.38,10.63,81.27,25.93,6.81,47.2,15.6,4.22,28.14,67.68,23.02,143.86,4.47,1.26,9.02,0.46,0.09,0.72,1.99,0.3,3,17,15,333,0,4.7
Barajas,32.95,8.44,61.29,20.86,5.71,40.88,12.49,3.55,26.54,67.41,23.13,145.48,3.61,0.99,7.74,0.37,0.07,0.59,1.77,0.43,3,85,2,278,0,23.3
Carabanchel,38.97,10.36,73.69,24.54,6.78,43.26,14.78,4.18,27.6,66.22,21.93,130.17,4.29,1.14,8.77,0.44,0.08,0.67,1.9,0.35,3,42,6,317,0,11.5
Centro,42.47,11.47,76.36,26.69,7.15,54.56,16.03,4.37,31.79,65.78,24.59,181.13,4.64,1.29,10.22,0.49,0.09,0.77,1.99,0.35,4,23,18,323,1,6.3
Chamartín,36.85,9.55,68.12,23.16,6.08,45.25,13.87,3.7,27.83,65.55,21.24,161.36,3.97,1.08,9.15,0.42,0.08,0.67,1.87,0.36,3,50,4,311,0,13.7
Chamberí,38.76,9.91,64.4,24.85,6.75,48.23,14.94,4.16,29.25,67.0,24.14,146.52,4.31,1.16,8.12,0.44,0.08,0.69,1.95,0.31,3,28,8,329,0,7.7
Ciudad Lineal,36.75,9.3,64.76,23.32,6.26,43.03,14.02,3.89,27.52,67.84,23.57,159.89,4.01,1.14,8.31,0.41,0.08,0.69,1.88,0.36,3,48,5,312,0,13.2
Fuencarral-El Pardo,32.94,8.52,56.96,21.08,5.71,46.2,12.65,3.51,28.29,67.78,23.04,149.18,3.61,1.0,8.74,0.38,0.07,0.57,1.78,0.43,3,83,2,280,0,22.7
Hortaleza,34.5,8.78,60.26,21.99,6.02,40.79,13.22,3.66,24.36,68.48,22.73,165.24,3.81,1.05,9.31,0.4,0.07,0.58,1.81,0.4,3,69,1,295,0,18.9
Latina,37.17,9.81,69.17,23.49,6.5,44.41,14.18,4.05,26.85,67.59,24.61,164.77,3.81,0.96,7.25,0.42,0.08,0.66,1.87,0.37,3,51,4,310,0,14.0
Moncloa-Aravaca,34.54,8.81,62.15,21.61,5.98,41.26,12.99,3.68,25.3,66.53,23.04,145.58,3.83,1.11,8.6,0.39,0.07,0.65,1.8,0.41,3,75,1,289,0,20.5
Moratalaz,36.67,9.13,61.8,22.84,6.01,44.89,13.72,3.72,27.94,67.43,23.0,132.73,4.05,1.08,7.92,0.42,0.08,0.64,1.88,0.36,3,47,4,314,0,12.9
Puente de Vallecas,42.21,10.87,76.82,26.71,7.35,50.58,16.06,4.43,30.47,65.95,24.15,147.37,4.75,1.33,8.82,0.48,0.09,0.82,2.02,0.35,4,18,22,324,1,4.9
Retiro,36.68,9.61,66.05,23.4,6.58,47.64,14.05,4.05,27.39,67.65,23.76,157.75,4.01,1.12,9.39,0.42,0.08,0.7,1.9,0.36,3,43,7,315,0,11.8
Salamanca,40.49,9.94,72.9,25.7,7.03,51.9,15.4,4.27,31.39,66.2,22.52,147.61,4.48,1.24,8.7,0.46,0.09,0.74,1.96,0.34,4,27,11,326,1,7.4
San Blas-Canillejas,37.12,9.92,68.73,23.23,6.6,45.72,13.95,4.07,27.91,66.1,22.49,167.58,3.98,1.12,10.13,0.42,0.08,0.67,1.87,0.38,3,54,5,306,0,14.8
Tetuán,38.67,9.72,68.34,24.22,6.45,45.55,14.58,4.0,28.3,66.29,23.1,133.47,4.05,1.08,7.39,0.44,0.08,0.74,1.93,0.33,3,34,7,324,0,9.3
Usera,40.25,10.06,71.45,25.7,7.3,53.23,15.39,4.5,31.28,67.27,23.17,146.33,4.32,1.17,8.41,0.46,0.09,0.68,1.98,0.4,4,30,19,314,2,8.3
Vicálvaro,36.88,9.69,67.15,23.09,6.43,44.44,13.87,3.93,28.66,66.78,23.08,149.82,4.05,1.13,8.43,0.42,0.08,0.69,1.88,0.38,3,52,7,306,0,14.2
Villa de Vallecas,40.71,10.38,75.46,25.54,6.79,47.56,15.32,4.16,31.19,65.2,22.21,140.07,4.49,1.27,9.0,0.46,0.09,0.71,1.95,0.34,3,31,13,321,0,8.5
Villaverde,41.01,11.06,84.58,25.87,6.83,45.18,15.4,4.05,29.28,65.69,22.72,148.03,4.37,1.15,9.97,0.46,0.09,0.75,1.98,0.33,3,24,15,326,0,6.6
