fecha,hora,distrito,precio_base,precio_distrito,tipo_tarifa,precio_mercado,margen_distrito,fuente
2025-10-28,0,Centro,0.058,0.0413,valle,0.058,-0.0167,omie
2025-10-28,1,Centro,0.0478,0.0324,valle,0.0478,-0.0154,omie
2025-10-28,2,Centro,0.0418,0.0291,valle,0.0418,-0.0127,omie
2025-10-28,3,Centro,0.0355,0.0251,valle,0.0355,-0.0104,omie
2025-10-28,4,Centro,0.0405,0.0277,valle,0.0405,-0.0128,omie
2025-10-28,5,Centro,0.0495,0.0345,valle,0.0495,-0.015,omie
2025-10-28,6,Centro,0.0757,0.052,valle,0.0757,-0.0237,omie
2025-10-28,7,Centro,0.0841,0.0586,valle,0.0841,-0.0255,omie
2025-10-28,8,Centro,0.1188,0.165,punta,0.1188,0.0462,omie
2025-10-28,9,Centro,0.141,0.1853,punta,0.141,0.0443,omie
2025-10-28,10,Centro,0.14,0.1989,punta,0.14,0.0589,omie
2025-10-28,11,Centro,0.1114,0.1564,punta,0.1114,0.045,omie
2025-10-28,12,Centro,0.1158,0.1603,punta,0.1158,0.0445,omie
2025-10-28,13,Centro,0.1304,0.1812,punta,0.1304,0.0508,omie
2025-10-28,14,Centro,0.1371,0.1915,punta,0.1371,0.0544,omie
2025-10-28,15,Centro,0.1496,0.2119,punta,0.1496,0.0623,omie
2025-10-28,16,Centro,0.1295,0.1807,punta,0.1295,0.0512,omie
2025-10-28,17,Centro,0.1302,0.1841,punta,0.1302,0.0539,omie
2025-10-28,18,Centro,0.157,0.214,punta,0.157,0.057,omie
2025-10-28,19,Centro,0.1826,0.2574,punta,0.1826,0.0748,omie
2025-10-28,20,Centro,0.1699,0.2375,punta,0.1699,0.0676,omie
2025-10-28,21,Centro,0.1329,0.188,punta,0.1329,0.0551,omie
2025-10-28,22,Centro,0.1263,0.1774,punta,0.1263,0.0511,omie
2025-10-28,23,Centro,0.0916,0.0644,valle,0.0916,-0.0272,omie
2025-10-28,0,Arganzuela,0.058,0.0442,valle,0.058,-0.0138,omie
2025-10-28,1,Arganzuela,0.0478,0.0358,valle,0.0478,-0.012,omie
2025-10-28,2,Arganzuela,0.0418,0.0309,valle,0.0418,-0.0109,omie
2025-10-28,3,Arganzuela,0.0355,0.0271,valle,0.0355,-0.0084,omie
2025-10-28,4,Arganzuela,0.0405,0.0303,valle,0.0405,-0.0102,omie
2025-10-28,5,Arganzuela,0.0495,0.0383,valle,0.0495,-0.0112,omie
2025-10-28,6,Arganzuela,0.0757,0.0548,valle,0.0757,-0.0209,omie
2025-10-28,7,Arganzuela,0.0841,0.0648,valle,0.0841,-0.0193,omie
2025-10-28,8,Arganzuela,0.1188,0.1538,punta,0.1188,0.035,omie
2025-10-28,9,Arganzuela,0.141,0.1849,punta,0.141,0.0439,omie
2025-10-28,10,Arganzuela,0.14,0.1817,punta,0.14,0.0417,omie
2025-10-28,11,Arganzuela,0.1114,0.1476,punta,0.1114,0.0362,omie
2025-10-28,12,Arganzuela,0.1158,0.1474,punta,0.1158,0.0316,omie
2025-10-28,13,Arganzuela,0.1304,0.1667,punta,0.1304,0.0363,omie
2025-10-28,14,Arganzuela,0.1371,0.182,punta,0.1371,0.0449,omie
2025-10-28,15,Arganzuela,0.1496,0.1882,punta,0.1496,0.0386,omie
2025-10-28,16,Arganzuela,0.1295,0.1732,punta,0.1295,0.0437,omie
2025-10-28,17,Arganzuela,0.1302,0.1675,punta,0.1302,0.0373,omie
2025-10-28,18,Arganzuela,0.157,0.206,punta,0.157,0.049,omie
2025-10-28,19,Arganzuela,0.1826,0.2372,punta,0.1826,0.0546,omie
2025-10-28,20,Arganzuela,0.1699,0.2264,punta,0.1699,0.0565,omie
2025-10-28,21,Arganzuela,0.1329,0.1743,punta,0.1329,0.0414,omie
2025-10-28,22,Arganzuela,0.1263,0.1681,punta,0.1263,0.0418,omie
2025-10-28,23,Arganzuela,0.0916,0.0684,valle,0.0916,-0.0232,omie
2025-10-28,0,Retiro,0.058,0.0381,valle,0.058,-0.0199,omie
2025-10-28,1,Retiro,0.0478,0.031,valle,0.0478,-0.0168,omie
2025-10-28,2,Retiro,0.0418,0.0274,valle,0.0418,-0.0144,omie
2025-10-28,3,Retiro,0.0355,0.0214,valle,0.0355,-0.0141,omie
2025-10-28,4,Retiro,0.0405,0.0262,valle,0.0405,-0.0143,omie
2025-10-28,5,Retiro,0.0495,0.0314,valle,0.0495,-0.0181,omie
2025-10-28,6,Retiro,0.0757,0.0503,valle,0.0757,-0.0254,omie
2025-10-28,7,Retiro,0.0841,0.0549,valle,0.0841,-0.0292,omie
2025-10-28,8,Retiro,0.1188,0.1762,punta,0.1188,0.0574,omie
2025-10-28,9,Retiro,0.141,0.2153,punta,0.141,0.0743,omie
2025-10-28,10,Retiro,0.14,0.2039,punta,0.14,0.0639,omie
2025-10-28,11,Retiro,0.1114,0.17,punta,0.1114,0.0586,omie
2025-10-28,12,Retiro,0.1158,0.1794,punta,0.1158,0.0636,omie
2025-10-28,13,Retiro,0.1304,0.1894,punta,0.1304,0.059,omie
2025-10-28,14,Retiro,0.1371,0.2018,punta,0.1371,0.0647,omie
2025-10-28,15,Retiro,0.1496,0.2182,punta,0.1496,0.0686,omie
2025-10-28,16,Retiro,0.1295,0.1913,punta,0.1295,0.0618,omie
2025-10-28,17,Retiro,0.1302,0.1899,punta,0.1302,0.0597,omie
2025-10-28,18,Retiro,0.157,0.2338,punta,0.157,0.0768,omie
2025-10-28,19,Retiro,0.1826,0.277,punta,0.1826,0.0944,omie
2025-10-28,20,Retiro,0.1699,0.2538,punta,0.1699,0.0839,omie
2025-10-28,21,Retiro,0.1329,0.1987,punta,0.1329,0.0658,omie
2025-10-28,22,Retiro,0.1263,0.1899,punta,0.1263,0.0636,omie
2025-10-28,23,Retiro,0.0916,0.0595,valle,0.0916,-0.0321,omie
2025-10-28,0,Salamanca,0.058,0.0355,valle,0.058,-0.0225,omie
2025-10-28,1,Salamanca,0.0478,0.0284,valle,0.0478,-0.0194,omie
2025-10-28,2,Salamanca,0.0418,0.0251,valle,0.0418,-0.0167,omie
2025-10-28,3,Salamanca,0.0355,0.0214,valle,0.0355,-0.0141,omie
2025-10-28,4,Salamanca,0.0405,0.0235,valle,0.0405,-0.017,omie
2025-10-28,5,Salamanca,0.0495,0.0298,valle,0.0495,-0.0197,omie
2025-10-28,6,Salamanca,0.0757,0.0454,valle,0.0757,-0.0303,omie
2025-10-28,7,Salamanca,0.0841,0.0506,valle,0.0841,-0.0335,omie
2025-10-28,8,Salamanca,0.1188,0.193,punta,0.1188,0.0742,omie
2025-10-28,9,Salamanca,0.141,0.2284,punta,0.141,0.0874,omie
2025-10-28,10,Salamanca,0.14,0.2269,punta,0.14,0.0869,omie
2025-10-28,11,Salamanca,0.1114,0.1831,punta,0.1114,0.0717,omie
2025-10-28,12,Salamanca,0.1158,0.1886,punta,0.1158,0.0728,omie
2025-10-28,13,Salamanca,0.1304,0.2045,punta,0.1304,0.0741,omie
2025-10-28,14,Salamanca,0.1371,0.2143,punta,0.1371,0.0772,omie
2025-10-28,15,Salamanca,0.1496,0.2326,punta,0.1496,0.083,omie
2025-10-28,16,Salamanca,0.1295,0.2089,punta,0.1295,0.0794,omie
2025-10-28,17,Salamanca,0.1302,0.2124,punta,0.1302,0.0822,omie
2025-10-28,18,Salamanca,0.157,0.2626,punta,0.157,0.1056,omie
2025-10-28,19,Salamanca,0.1826,0.2927,punta,0.1826,0.1101,omie
2025-10-28,20,Salamanca,0.1699,0.2836,punta,0.1699,0.1137,omie
2025-10-28,21,Salamanca,0.1329,0.2114,punta,0.1329,0.0785,omie
2025-10-28,22,Salamanca,0.1263,0.1988,punta,0.1263,0.0725,omie
2025-10-28,23,Salamanca,0.0916,0.0549,valle,0.0916,-0.0367,omie
2025-10-28,0,Chamartín,0.058,0.0405,valle,0.058,-0.0175,omie
2025-10-28,1,Chamartín,0.0478,0.0337,valle,0.0478,-0.0141,omie
2025-10-28,2,Chamartín,0.0418,0.0288,valle,0.0418,-0.013,omie
2025-10-28,3,Chamartín,0.0355,0.0251,valle,0.0355,-0.0104,omie
2025-10-28,4,Chamartín,0.0405,0.0284,valle,0.0405,-0.0121,omie
2025-10-28,5,Chamartín,0.0495,0.0343,valle,0.0495,-0.0152,omie
2025-10-28,6,Chamartín,0.0757,0.054,valle,0.0757,-0.0217,omie
2025-10-28,7,Chamartín,0.0841,0.057,valle,0.0841,-0.0271,omie
2025-10-28,8,Chamartín,0.1188,0.1685,punta,0.1188,0.0497,omie
2025-10-28,9,Chamartín,0.141,0.1958,punta,0.141,0.0548,omie
2025-10-28,10,Chamartín,0.14,0.2028,punta,0.14,0.0628,omie
2025-10-28,11,Chamartín,0.1114,0.1535,punta,0.1114,0.0421,omie
2025-10-28,12,Chamartín,0.1158,0.1647,punta,0.1158,0.0489,omie
2025-10-28,13,Chamartín,0.1304,0.1806,punta,0.1304,0.0502,omie
2025-10-28,14,Chamartín,0.1371,0.1937,punta,0.1371,0.0566,omie
2025-10-28,15,Chamartín,0.1496,0.2158,punta,0.1496,0.0662,omie
2025-10-28,16,Chamartín,0.1295,0.1847,punta,0.1295,0.0552,omie
2025-10-28,17,Chamartín,0.1302,0.1857,punta,0.1302,0.0555,omie
2025-10-28,18,Chamartín,0.157,0.2219,punta,0.157,0.0649,omie
2025-10-28,19,Chamartín,0.1826,0.2527,punta,0.1826,0.0701,omie
2025-10-28,20,Chamartín,0.1699,0.2392,punta,0.1699,0.0693,omie
2025-10-28,21,Chamartín,0.1329,0.1879,punta,0.1329,0.055,omie
2025-10-28,22,Chamartín,0.1263,0.1772,punta,0.1263,0.0509,omie
2025-10-28,23,Chamartín,0.0916,0.0615,valle,0.0916,-0.0301,omie
2025-10-28,0,Tetuán,0.058,0.0425,valle,0.058,-0.0155,omie
2025-10-28,1,Tetuán,0.0478,0.0362,valle,0.0478,-0.0116,omie
2025-10-28,2,Tetuán,0.0418,0.0311,valle,0.0418,-0.0107,omie
2025-10-28,3,Tetuán,0.0355,0.0275,valle,0.0355,-0.008,omie
2025-10-28,4,Tetuán,0.0405,0.0305,valle,0.0405,-0.01,omie
2025-10-28,5,Tetuán,0.0495,0.0378,valle,0.0495,-0.0117,omie
2025-10-28,6,Tetuán,0.0757,0.0551,valle,0.0757,-0.0206,omie
2025-10-28,7,Tetuán,0.0841,0.0658,valle,0.0841,-0.0183,omie
