distrito,precio_distrito_mean,precio_distrito_std,precio_distrito_min,precio_distrito_max,precio_base_mean,precio_base_std,precio_medio_diario,precio_punta,precio_valle,diferencial_punta_valle
Arganzuela,0.127,0.0708,0.0196,0.2865,0.1067,0.0452,,,,
Barajas,0.1121,0.0551,0.0215,0.2457,0.1067,0.0452,,,,
Carabanchel,0.112,0.0549,0.0211,0.2521,0.1067,0.0452,,,,
Centro,0.1345,0.0789,0.0176,0.3157,0.1067,0.0452,,,,
Chamartín,0.1343,0.0787,0.0176,0.3198,0.1067,0.0452,,,,
Chamberí,0.1345,0.0788,0.0176,0.3142,0.1067,0.0452,,,,
Ciudad Lineal,0.1195,0.0629,0.0199,0.2615,0.1067,0.0452,,,,
Fuencarral-El Pardo,0.1194,0.0628,0.02,0.2664,0.1067,0.0452,,,,
Hortaleza,0.1195,0.0629,0.0191,0.2729,0.1067,0.0452,,,,
Latina,0.1194,0.0628,0.0208,0.2617,0.1067,0.0452,,,,
Moncloa-Aravaca,0.1271,0.0709,0.0188,0.2892,0.1067,0.0452,,,,
Moratalaz,0.1195,0.063,0.0206,0.286,0.1067,0.0452,,,,
Puente de Vallecas,0.112,0.0551,0.0208,0.2459,0.1067,0.0452,,,,
Retiro,0.1419,0.0868,0.0159,0.3238,0.1067,0.0452,,,,
Salamanca,0.1498,0.0953,0.0151,0.3488,0.1067,0.0452,,,,
San Blas-Canillejas,0.1196,0.063,0.0206,0.2736,0.1067,0.0452,,,,
Tetuán,0.1269,0.0707,0.0187,0.2862,0.1067,0.0452,,,,
Usera,0.1195,0.0629,0.0199,0.2625,0.1067,0.0452,,,,
Vicálvaro,0.1119,0.055,0.0211,0.2403,0.1067,0.0452,,,,
Villa de Vallecas,0.1121,0.0552,0.0215,0.2463,0.1067,0.0452,,,,
Villaverde,0.112,0.055,0.021,0.2432,0.1067,0.0452,,,,
