distrito,precio_distrito_mean,precio_distrito_std,precio_distrito_min,precio_distrito_max,precio_base_mean,precio_base_std,precio_medio_diario,precio_punta,precio_valle,diferencial_punta_valle
Arganzuela,0.1269,0.0713,0.0193,0.2878,0.1064,0.0458,,,,
Barajas,0.1116,0.0553,0.0225,0.2428,0.1064,0.0458,,,,
Carabanchel,0.112,0.0555,0.023,0.2507,0.1064,0.0458,,,,
Centro,0.1344,0.0794,0.0186,0.3028,0.1064,0.0458,,,,
Chamartín,0.1343,0.0792,0.0193,0.305,0.1064,0.0458,,,,
Chamberí,0.1344,0.0794,0.0187,0.3136,0.1064,0.0458,,,,
Ciudad Lineal,0.1191,0.0631,0.021,0.2618,0.1064,0.0458,,,,
Fuencarral-El Pardo,0.1191,0.0632,0.0216,0.2765,0.1064,0.0458,,,,
Hortaleza,0.1192,0.0632,0.0214,0.2673,0.1064,0.0458,,,,
Latina,0.1193,0.0633,0.0215,0.2652,0.1064,0.0458,,,,
Moncloa-Aravaca,0.1265,0.0711,0.0198,0.2827,0.1064,0.0458,,,,
Moratalaz,0.1194,0.0634,0.021,0.2684,0.1064,0.0458,,,,
Puente de Vallecas,0.112,0.0556,0.0224,0.2414,0.1064,0.0458,,,,
Retiro,0.1417,0.0872,0.0171,0.3369,0.1064,0.0458,,,,
Salamanca,0.149,0.0953,0.0158,0.3443,0.1064,0.0458,,,,
San Blas-Canillejas,0.1192,0.0634,0.0206,0.2668,0.1064,0.0458,,,,
Tetuán,0.1268,0.0712,0.0199,0.2889,0.1064,0.0458,,,,
Usera,0.1193,0.0633,0.0216,0.266,0.1064,0.0458,,,,
Vicálvaro,0.1117,0.0555,0.0232,0.2412,0.1064,0.0458,,,,
Villa de Vallecas,0.1119,0.0554,0.0224,0.2417,0.1064,0.0458,,,,
Villaverde,0.1118,0.0555,0.0229,0.2471,0.1064,0.0458,,,,
