distrito,temperatura_media_mean,temperatura_media_std,temperatura_media_min,temperatura_media_max,humedad_mean,humedad_std,presion_mean,presion_std,velocidad_viento_mean,velocidad_viento_std,velocidad_viento_max,nubosidad_mean,nubosidad_std,precipitacion_sum,precipitacion_mean,precipitacion_max,uv_index_mean,uv_index_max
Arganzuela,25.82,,25.82,25.82,67.32,,1017.32,,14.9,,14.9,87.89,,6.39,6.39,6.39,0.54,0.54
Barajas,10.27,,10.27,10.27,78.86,,1013.1,,5.89,,5.89,79.42,,2.5,2.5,2.5,2.25,2.25
Carabanchel,5.85,,5.85,5.85,45.1,,1010.08,,3.24,,3.24,89.79,,0.01,0.01,0.01,6.65,6.65
Centro,12.99,,12.99,12.99,50.06,,1015.6,,3.72,,3.72,91.59,,1.88,1.88,1.88,2.95,2.95
Chamartín,4.5,,4.5,4.5,70.31,,1018.82,,7.6,,7.6,33.24,,2.85,2.85,2.85,7.8,7.8
Chamberí,11.65,,11.65,11.65,58.97,,1016.49,,3.31,,3.31,66.33,,0.26,0.26,0.26,1.89,1.89
Ciudad Lineal,17.29,,17.29,17.29,47.89,,1014.27,,2.74,,2.74,12.05,,1.06,1.06,1.06,3.3,3.3
Fuencarral-El Pardo,21.81,,21.81,21.81,47.95,,1017.77,,5.25,,5.25,1.15,,0.01,0.01,0.01,9.57,9.57
Hortaleza,13.95,,13.95,13.95,66.65,,1016.23,,6.25,,6.25,49.04,,1.18,1.18,1.18,8.75,8.75
Latina,13.14,,13.14,13.14,63.59,,1019.29,,14.88,,14.88,87.15,,2.84,2.84,2.84,3.3,3.3
Moncloa-Aravaca,17.99,,17.99,17.99,57.74,,1014.1,,2.92,,2.92,46.85,,1.36,1.36,1.36,3.09,3.09
Moratalaz,19.01,,19.01,19.01,57.93,,1013.15,,11.8,,11.8,79.44,,3.02,3.02,3.02,8.74,8.74
Puente de Vallecas,12.87,,12.87,12.87,76.19,,1010.99,,4.9,,4.9,77.17,,2.72,2.72,2.72,8.63,8.63
Retiro,13.41,,13.41,13.41,63.49,,1015.89,,4.49,,4.49,89.38,,0.13,0.13,0.13,3.86,3.86
Salamanca,22.29,,22.29,22.29,72.21,,1018.82,,3.53,,3.53,35.09,,4.22,4.22,4.22,9.98,9.98
San Blas-Canillejas,13.82,,13.82,13.82,46.92,,1010.41,,2.75,,2.75,97.4,,5.08,5.08,5.08,8.48,8.48
Tetuán,20.15,,20.15,20.15,51.33,,1012.72,,8.56,,8.56,43.23,,0.03,0.03,0.03,4.95,4.95
Usera,10.27,,10.27,10.27,40.57,,1015.57,,6.06,,6.06,50.65,,3.42,3.42,3.42,5.91,5.91
Vicálvaro,15.44,,15.44,15.44,73.52,,1013.59,,6.45,,6.45,70.87,,3.25,3.25,3.25,2.54,2.54
Villa de Vallecas,9.53,,9.53,9.53,48.84,,1014.46,,10.23,,10.23,70.18,,1.97,1.97,1.97,0.77,0.77
Villaverde,12.01,,12.01,12.01,49.71,,1012.86,,5.61,,5.61,8.35,,0.48,0.48,0.48,5.59,5.59
