fecha,distrito,NO2,PM10,PM2.5,O3,SO2,CO,ICA,calidad,recomendacion
2023-01-01,Centro,38.62,23.0,13.93,37.41,7.37,0.4,2,Moderada,Calidad del aire aceptable para la mayoría de personas
2023-01-02,Centro,54.88,42.95,27.53,32.08,7.34,0.63,3,Mala,Sensibles al aire pueden experimentar síntomas
2023-01-03,Centro,79.68,36.61,23.43,37.28,3.81,0.52,2,Moderada,Calidad del aire aceptable para la mayoría de personas
2023-01-04,Centro,60.71,33.62,20.29,33.7,8.15,0.64,2,Moderada,Calidad del aire aceptable para la mayoría de personas
2023-01-05,Centro,63.19,32.95,18.67,47.88,5.4,0.61,2,Moderada,Calidad del aire aceptable para la mayoría de personas
2023-01-06,Centro,64.37,34.92,22.59,49.4,5.65,0.54,2,Moderada,Calidad del aire aceptable para la mayoría de personas
2023-01-07,Centro,45.86,24.99,14.25,39.66,3.08,0.5,2,Moderada,Calidad del aire aceptable para la mayoría de personas
2023-01-08,Centro,36.62,27.73,18.12,37.78,3.82,0.39,2,Moderada,Calidad del aire aceptable para la mayoría de personas
2023-01-09,Centro,53.63,38.49,23.29,34.37,5.77,0.65,2,Moderada,Calidad del aire aceptable para la mayoría de personas
2023-01-10,Centro,67.62,38.18,21.36,48.39,7.61,0.55,2,Moderada,Calidad del aire aceptable para la mayoría de personas
2023-01-11,Centro,69.93,34.14,21.02,30.9,4.5,0.65,2,Moderada,Calidad del aire aceptable para la mayoría de personas
2023-01-12,Centro,54.52,30.79,17.57,38.29,4.73,0.59,2,Moderada,Calidad del aire aceptable para la mayoría de personas
2023-01-13,Centro,48.75,45.44,29.26,50.74,6.48,0.52,3,Mala,Sensibles al aire pueden experimentar síntomas
2023-01-14,Centro,51.87,37.41,20.28,32.83,6.16,0.48,2,Moderada,Calidad del aire aceptable para la mayoría de personas
2023-01-15,Centro,46.17,25.12,14.58,32.8,4.78,0.36,2,Moderada,Calidad del aire aceptable para la mayoría de personas
2023-01-16,Centro,59.07,43.65,24.85,46.34,3.98,0.59,3,Mala,Sensibles al aire pueden experimentar síntomas
2023-01-17,Centro,45.54,32.1,19.04,50.93,4.92,0.56,2,Moderada,Calidad del aire aceptable para la mayoría de personas
2023-01-18,Centro,46.76,34.62,22.72,43.43,5.1,0.61,2,Moderada,Calidad del aire aceptable para la mayoría de personas
2023-01-19,Centro,57.0,35.89,23.26,32.28,3.78,0.56,2,Moderada,Calidad del aire aceptable para la mayoría de personas
2023-01-20,Centro,54.74,35.25,21.96,41.98,3.63,0.64,2,Moderada,Calidad del aire aceptable para la mayoría de personas
2023-01-21,Centro,44.59,24.12,15.43,55.19,4.3,0.52,2,Moderada,Calidad del aire aceptable para la mayoría de personas
2023-01-22,Centro,41.44,29.32,18.57,70.86,5.44,0.33,2,Moderada,Calidad del aire aceptable para la mayoría de personas
2023-01-23,Centro,44.35,39.4,24.52,45.73,5.76,0.58,2,Moderada,Calidad del aire aceptable para la mayoría de personas
2023-01-24,Centro,55.72,30.63,16.77,49.58,3.68,0.66,2,Moderada,Calidad del aire aceptable para la mayoría de personas
2023-01-25,Centro,65.33,34.17,20.85,53.13,5.57,0.53,2,Moderada,Calidad del aire aceptable para la mayoría de personas
2023-01-26,Centro,62.55,31.3,18.8,39.51,9.04,0.62,2,Moderada,Calidad del aire aceptable para la mayoría de personas
2023-01-27,Centro,55.66,41.15,25.87,54.48,5.18,0.56,3,Mala,Sensibles al aire pueden experimentar síntomas
2023-01-28,Centro,56.18,35.11,22.63,47.49,7.22,0.56,2,Moderada,Calidad del aire aceptable para la mayoría de personas
2023-01-29,Centro,40.3,25.58,15.63,49.59,4.61,0.35,2,Moderada,Calidad del aire aceptable para la mayoría de personas
2023-01-30,Centro,64.67,39.76,24.08,35.33,5.27,0.6,2,Moderada,Calidad del aire aceptable para la mayoría de personas
2023-01-31,Centro,62.44,35.43,22.28,38.02,6.64,0.73,2,Moderada,Calidad del aire aceptable para la mayoría de personas
2023-02-01,Centro,61.6,41.31,23.71,50.07,5.01,0.68,3,Mala,Sensibles al aire pueden experimentar síntomas
2023-02-02,Centro,57.2,36.78,21.6,52.24,7.4,0.65,2,Moderada,Calidad del aire aceptable para la mayoría de personas
2023-02-03,Centro,68.31,33.47,18.1,43.92,4.77,0.6,2,Moderada,Calidad del aire aceptable para la mayoría de personas
2023-02-04,Centro,55.25,33.58,20.12,44.69,5.48,0.48,2,Moderada,Calidad del aire aceptable para la mayoría de personas
2023-02-05,Centro,46.08,27.93,18.21,36.79,6.12,0.39,2,Moderada,Calidad del aire aceptable para la mayoría de personas
2023-02-06,Centro,56.8,35.91,21.29,49.27,6.2,0.53,2,Moderada,Calidad del aire aceptable para la mayoría de personas
2023-02-07,Centro,66.86,36.38,20.4,39.82,5.99,0.52,2,Moderada,Calidad del aire aceptable para la mayoría de personas
2023-02-08,Centro,64.22,39.99,21.94,44.96,3.73,0.57,2,Moderada,Calidad del aire aceptable para la mayoría de personas
2023-02-09,Centro,66.47,39.55,22.76,51.9,6.55,0.53,2,Moderada,Calidad del aire aceptable para la mayoría de personas
2023-02-10,Centro,50.56,43.66,23.82,39.8,3.7,0.7,3,Mala,Sensibles al aire pueden experimentar síntomas
2023-02-11,Centro,49.38,29.62,17.71,49.66,7.19,0.57,2,Moderada,Calidad del aire aceptable para la mayoría de personas
2023-02-12,Centro,48.97,20.63,12.4,44.94,6.23,0.53,2,Moderada,Calidad del aire aceptable para la mayoría de personas
2023-02-13,Centro,54.1,32.15,17.65,44.32,7.63,0.58,2,Moderada,Calidad del aire aceptable para la mayoría de personas
2023-02-14,Centro,71.54,38.43,21.81,35.84,5.16,0.62,2,Moderada,Calidad del aire aceptable para la mayoría de personas
2023-02-15,Centro,62.72,40.0,21.99,42.74,5.89,0.57,2,Moderada,Calidad del aire aceptable para la mayoría de personas
2023-02-16,Centro,48.61,32.16,19.04,41.88,6.86,0.66,2,Moderada,Calidad del aire aceptable para la mayoría de personas
2023-02-17,Centro,52.88,39.67,22.28,33.46,5.45,0.58,2,Moderada,Calidad del aire aceptable para la mayoría de personas
2023-02-18,Centro,60.31,30.19,19.67,34.72,7.16,0.52,2,Moderada,Calidad del aire aceptable para la mayoría de personas
2023-02-19,Centro,42.41,23.54,13.05,46.13,5.57,0.43,2,Moderada,Calidad del aire aceptable para la mayoría de personas
2023-02-20,Centro,54.65,42.1,27.33,45.9,5.56,0.76,3,Mala,Sensibles al aire pueden experimentar síntomas
2023-02-21,Centro,55.52,34.34,19.2,46.11,5.34,0.57,2,Moderada,Calidad del aire aceptable para la mayoría de personas
2023-02-22,Centro,62.68,34.46,20.03,35.14,3.85,0.68,2,Moderada,Calidad del aire aceptable para la mayoría de personas
2023-02-23,Centro,68.36,35.77,21.02,39.45,4.78,0.61,2,Moderada,Calidad del aire aceptable para la mayoría de personas
2023-02-24,Centro,74.01,42.78,27.94,38.67,4.7,0.62,3,Mala,Sensibles al aire pueden experimentar síntomas
2023-02-25,Centro,46.26,28.2,18.51,59.85,6.7,0.51,2,Moderada,Calidad del aire aceptable para la mayoría de personas
2023-02-26,Centro,39.38,25.9,15.28,42.84,4.44,0.39,2,Moderada,Calidad del aire aceptable para la mayoría de personas
2023-02-27,Centro,62.77,41.4,23.0,42.96,5.65,0.68,3,Mala,Sensibles al aire pueden experimentar síntomas
2023-02-28,Centro,63.23,35.4,19.97,55.75,3.91,0.6,2,Moderada,Calidad del aire aceptable para la mayoría de personas
2023-03-01,Centro,46.23,28.71,16.86,82.74,3.04,0.53,2,Moderada,Calidad del aire aceptable para la mayoría de personas
2023-03-02,Centro,52.18,29.87,16.83,77.7,3.97,0.51,2,Moderada,Calidad del aire aceptable para la mayoría de personas
2023-03-03,Centro,38.72,31.77,18.86,53.0,4.52,0.54,2,Moderada,Calidad del aire aceptable para la mayoría de personas
2023-03-04,Centro,42.01,28.61,16.53,50.58,5.13,0.5,2,Moderada,Calidad del aire aceptable para la mayoría de personas
