fecha,distrito,NO2,PM10,PM2.5,O3,SO2,CO,ICA,calidad,recomendacion
2022-01-01,Centro,48.19,38.5,22.92,44.59,4.41,0.45,2,Moderada,Calidad del aire aceptable para la mayoría de personas
2022-01-02,Centro,39.67,26.05,16.94,43.42,3.33,0.43,2,Moderada,Calidad del aire aceptable para la mayoría de personas
2022-01-03,Centro,53.42,27.39,16.85,33.64,5.17,0.61,2,Moderada,Calidad del aire aceptable para la mayoría de personas
2022-01-04,Centro,51.15,32.39,21.02,40.27,4.12,0.61,2,Moderada,Calidad del aire aceptable para la mayoría de personas
2022-01-05,Centro,66.15,36.78,22.2,32.63,3.83,0.71,2,Moderada,Calidad del aire aceptable para la mayoría de personas
2022-01-06,Centro,60.02,44.14,26.47,36.79,5.11,0.66,3,Mala,Sensibles al aire pueden experimentar síntomas
2022-01-07,Centro,56.91,32.06,21.08,38.12,5.46,0.67,2,Moderada,Calidad del aire aceptable para la mayoría de personas
2022-01-08,Centro,46.29,24.03,15.68,60.13,9.76,0.52,2,Moderada,Calidad del aire aceptable para la mayoría de personas
2022-01-09,Centro,32.46,21.5,13.37,48.41,6.37,0.33,2,Moderada,Calidad del aire aceptable para la mayoría de personas
2022-01-10,Centro,40.26,41.17,27.14,52.65,6.06,0.64,3,Mala,Sensibles al aire pueden experimentar síntomas
2022-01-11,Centro,46.32,38.92,21.69,26.6,7.18,0.72,2,Moderada,Calidad del aire aceptable para la mayoría de personas
2022-01-12,Centro,51.89,33.86,19.68,31.77,4.33,0.62,2,Moderada,Calidad del aire aceptable para la mayoría de personas
2022-01-13,Centro,55.98,34.38,19.34,44.16,2.67,0.6,2,Moderada,Calidad del aire aceptable para la mayoría de personas
2022-01-14,Centro,48.01,45.09,26.95,39.48,3.85,0.65,3,Mala,Sensibles al aire pueden experimentar síntomas
2022-01-15,Centro,60.98,36.76,23.36,50.44,3.88,0.53,2,Moderada,Calidad del aire aceptable para la mayoría de personas
2022-01-16,Centro,44.19,21.75,12.27,52.06,7.33,0.41,2,Moderada,Calidad del aire aceptable para la mayoría de personas
2022-01-17,Centro,66.59,46.03,29.77,41.52,6.03,0.53,3,Mala,Sensibles al aire pueden experimentar síntomas
2022-01-18,Centro,50.95,33.97,19.27,56.24,5.87,0.55,2,Moderada,Calidad del aire aceptable para la mayoría de personas
2022-01-19,Centro,65.11,36.16,21.88,41.1,4.83,0.63,2,Moderada,Calidad del aire aceptable para la mayoría de personas
2022-01-20,Centro,61.01,33.14,18.93,38.59,6.4,0.68,2,Moderada,Calidad del aire aceptable para la mayoría de personas
2022-01-21,Centro,55.09,34.01,22.37,42.11,5.16,0.55,2,Moderada,Calidad del aire aceptable para la mayoría de personas
