fecha,hora,distrito,precio_base,precio_distrito,tipo_tarifa,precio_mercado,margen_distrito,fuente
2025-11-04,0,Centro,0.0614,0.0418,valle,0.0614,-0.0196,omie
2025-11-04,1,Centro,0.0454,0.0328,valle,0.0454,-0.0126,omie
2025-11-04,2,Centro,0.0431,0.0286,valle,0.0431,-0.0145,omie
2025-11-04,3,Centro,0.0359,0.0253,valle,0.0359,-0.0106,omie
2025-11-04,4,Centro,0.054,0.0381,valle,0.054,-0.0159,omie
2025-11-04,5,Centro,0.0531,0.0362,valle,0.0531,-0.0169,omie
2025-11-04,6,Centro,0.0903,0.0642,valle,0.0903,-0.0261,omie
2025-11-04,7,Centro,0.0907,0.0643,valle,0.0907,-0.0264,omie
2025-11-04,8,Centro,0.1518,0.2086,punta,0.1518,0.0568,omie
2025-11-04,9,Centro,0.1478,0.2136,punta,0.1478,0.0658,omie
2025-11-04,10,Centro,0.1455,0.2058,punta,0.1455,0.0603,omie
2025-11-04,11,Centro,0.1258,0.1779,punta,0.1258,0.0521,omie
2025-11-04,12,Centro,0.1221,0.1741,punta,0.1221,0.052,omie
2025-11-04,13,Centro,0.1631,0.2284,punta,0.1631,0.0653,omie
2025-11-04,14,Centro,0.1613,0.2297,punta,0.1613,0.0684,omie
2025-11-04,15,Centro,0.1485,0.2099,punta,0.1485,0.0614,omie
2025-11-04,16,Centro,0.1414,0.1946,punta,0.1414,0.0532,omie
2025-11-04,17,Centro,0.1451,0.2083,punta,0.1451,0.0632,omie
2025-11-04,18,Centro,0.1664,0.2396,punta,0.1664,0.0732,omie
2025-11-04,19,Centro,0.1995,0.2741,punta,0.1995,0.0746,omie
2025-11-04,20,Centro,0.2163,0.3108,punta,0.2163,0.0945,omie
2025-11-04,21,Centro,0.1817,0.2531,punta,0.1817,0.0714,omie
2025-11-04,22,Centro,0.1374,0.195,punta,0.1374,0.0576,omie
2025-11-04,23,Centro,0.0996,0.0698,valle,0.0996,-0.0298,omie
2025-11-04,0,Arganzuela,0.0614,0.046,valle,0.0614,-0.0154,omie
2025-11-04,1,Arganzuela,0.0454,0.0342,valle,0.0454,-0.0112,omie
2025-11-04,2,Arganzuela,0.0431,0.0319,valle,0.0431,-0.0112,omie
2025-11-04,3,Arganzuela,0.0359,0.0256,valle,0.0359,-0.0103,omie
2025-11-04,4,Arganzuela,0.054,0.0402,valle,0.054,-0.0138,omie
2025-11-04,5,Arganzuela,0.0531,0.039,valle,0.0531,-0.0141,omie
2025-11-04,6,Arganzuela,0.0903,0.0686,valle,0.0903,-0.0217,omie
2025-11-04,7,Arganzuela,0.0907,0.0692,valle,0.0907,-0.0215,omie
2025-11-04,8,Arganzuela,0.1518,0.2001,punta,0.1518,0.0483,omie
2025-11-04,9,Arganzuela,0.1478,0.1869,punta,0.1478,0.0391,omie
2025-11-04,10,Arganzuela,0.1455,0.1914,punta,0.1455,0.0459,omie
2025-11-04,11,Arganzuela,0.1258,0.1652,punta,0.1258,0.0394,omie
2025-11-04,12,Arganzuela,0.1221,0.1575,punta,0.1221,0.0354,omie
2025-11-04,13,Arganzuela,0.1631,0.2169,punta,0.1631,0.0538,omie
2025-11-04,14,Arganzuela,0.1613,0.2071,punta,0.1613,0.0458,omie
2025-11-04,15,Arganzuela,0.1485,0.1931,punta,0.1485,0.0446,omie
2025-11-04,16,Arganzuela,0.1414,0.1877,punta,0.1414,0.0463,omie
2025-11-04,17,Arganzuela,0.1451,0.1943,punta,0.1451,0.0492,omie
2025-11-04,18,Arganzuela,0.1664,0.2198,punta,0.1664,0.0534,omie
2025-11-04,19,Arganzuela,0.1995,0.2571,punta,0.1995,0.0576,omie
2025-11-04,20,Arganzuela,0.2163,0.2873,punta,0.2163,0.071,omie
2025-11-04,21,Arganzuela,0.1817,0.2449,punta,0.1817,0.0632,omie
