distrito,precio_distrito_mean,precio_distrito_std,precio_distrito_min,precio_distrito_max,precio_base_mean,precio_base_std,precio_medio_diario,precio_punta,precio_valle,diferencial_punta_valle
Arganzuela,0.128,0.071,0.021,0.2685,0.1075,0.0452,,,,
Barajas,0.1127,0.055,0.0242,0.2266,0.1075,0.0452,,,,
Carabanchel,0.1128,0.0549,0.0236,0.2257,0.1075,0.0452,,,,
Centro,0.1357,0.0792,0.0193,0.2938,0.1075,0.0452,,,,
Chamartín,0.1355,0.0791,0.0201,0.2876,0.1075,0.0452,,,,
Chamberí,0.1357,0.0793,0.0197,0.2996,0.1075,0.0452,,,,
Ciudad Lineal,0.1201,0.0628,0.0226,0.2478,0.1075,0.0452,,,,
Fuencarral-El Pardo,0.1204,0.0629,0.0225,0.2496,0.1075,0.0452,,,,
Hortaleza,0.1205,0.0629,0.0231,0.2517,0.1075,0.0452,,,,
Latina,0.1203,0.0629,0.0224,0.2454,0.1075,0.0452,,,,
Moncloa-Aravaca,0.1278,0.0708,0.0213,0.2674,0.1075,0.0452,,,,
Moratalaz,0.1205,0.063,0.0225,0.2476,0.1075,0.0452,,,,
Puente de Vallecas,0.1129,0.0551,0.0238,0.2239,0.1075,0.0452,,,,
Retiro,0.143,0.087,0.0188,0.3098,0.1075,0.0452,,,,
Salamanca,0.1506,0.0953,0.0175,0.3319,0.1075,0.0452,,,,
San Blas-Canillejas,0.1205,0.063,0.0225,0.2534,0.1075,0.0452,,,,
Tetuán,0.1279,0.071,0.0213,0.2697,0.1075,0.0452,,,,
Usera,0.1204,0.0628,0.0232,0.2434,0.1075,0.0452,,,,
Vicálvaro,0.1128,0.055,0.0241,0.2237,0.1075,0.0452,,,,
Villa de Vallecas,0.113,0.0551,0.0242,0.2233,0.1075,0.0452,,,,
Villaverde,0.1132,0.0553,0.0235,0.2285,0.1075,0.0452,,,,
