fecha,hora,distrito,precio_base,precio_distrito,tipo_tarifa,precio_mercado,margen_distrito,fuente
2025-11-04,0,Centro,0.052,0.0364,valle,0.052,-0.0156,omie
2025-11-04,1,Centro,0.0453,0.032,valle,0.0453,-0.0133,omie
2025-11-04,2,Centro,0.0375,0.0264,valle,0.0375,-0.0111,omie
2025-11-04,3,Centro,0.0416,0.0283,valle,0.0416,-0.0133,omie
2025-11-04,4,Centro,0.048,0.0354,valle,0.048,-0.0126,omie
2025-11-04,5,Centro,0.055,0.0392,valle,0.055,-0.0158,omie
2025-11-04,6,Centro,0.077,0.0545,valle,0.077,-0.0225,omie
2025-11-04,7,Centro,0.1018,0.0687,valle,0.1018,-0.0331,omie
2025-11-04,8,Centro,0.1512,0.2076,punta,0.1512,0.0564,omie
2025-11-04,9,Centro,0.16,0.2213,punta,0.16,0.0613,omie
2025-11-04,10,Centro,0.1315,0.1866,punta,0.1315,0.0551,omie
2025-11-04,11,Centro,0.1191,0.1649,punta,0.1191,0.0458,omie
2025-11-04,12,Centro,0.1164,0.1643,punta,0.1164,0.0479,omie
2025-11-04,13,Centro,0.1477,0.2083,punta,0.1477,0.0606,omie
2025-11-04,14,Centro,0.1328,0.1879,punta,0.1328,0.0551,omie
2025-11-04,15,Centro,0.1401,0.1966,punta,0.1401,0.0565,omie
2025-11-04,16,Centro,0.1611,0.2226,punta,0.1611,0.0615,omie
2025-11-04,17,Centro,0.1266,0.18,punta,0.1266,0.0534,omie
2025-11-04,18,Centro,0.1714,0.2366,punta,0.1714,0.0652,omie
2025-11-04,19,Centro,0.1828,0.2561,punta,0.1828,0.0733,omie
2025-11-04,20,Centro,0.1989,0.2822,punta,0.1989,0.0833,omie
2025-11-04,21,Centro,0.1696,0.2379,punta,0.1696,0.0683,omie
2025-11-04,22,Centro,0.1418,0.1946,punta,0.1418,0.0528,omie
2025-11-04,23,Centro,0.1038,0.0728,valle,0.1038,-0.031,omie
2025-11-04,0,Arganzuela,0.052,0.0387,valle,0.052,-0.0133,omie
2025-11-04,1,Arganzuela,0.0453,0.0331,valle,0.0453,-0.0122,omie
2025-11-04,2,Arganzuela,0.0375,0.029,valle,0.0375,-0.0085,omie
2025-11-04,3,Arganzuela,0.0416,0.0312,valle,0.0416,-0.0104,omie
2025-11-04,4,Arganzuela,0.048,0.0362,valle,0.048,-0.0118,omie
2025-11-04,5,Arganzuela,0.055,0.0418,valle,0.055,-0.0132,omie
2025-11-04,6,Arganzuela,0.077,0.058,valle,0.077,-0.019,omie
2025-11-04,7,Arganzuela,0.1018,0.0764,valle,0.1018,-0.0254,omie
2025-11-04,8,Arganzuela,0.1512,0.1957,punta,0.1512,0.0445,omie
2025-11-04,9,Arganzuela,0.16,0.2127,punta,0.16,0.0527,omie
2025-11-04,10,Arganzuela,0.1315,0.1702,punta,0.1315,0.0387,omie
2025-11-04,11,Arganzuela,0.1191,0.1546,punta,0.1191,0.0355,omie
2025-11-04,12,Arganzuela,0.1164,0.1545,punta,0.1164,0.0381,omie
2025-11-04,13,Arganzuela,0.1477,0.1923,punta,0.1477,0.0446,omie
2025-11-04,14,Arganzuela,0.1328,0.1705,punta,0.1328,0.0377,omie
2025-11-04,15,Arganzuela,0.1401,0.1794,punta,0.1401,0.0393,omie
2025-11-04,16,Arganzuela,0.1611,0.2017,punta,0.1611,0.0406,omie
2025-11-04,17,Arganzuela,0.1266,0.1682,punta,0.1266,0.0416,omie
2025-11-04,18,Arganzuela,0.1714,0.2238,punta,0.1714,0.0524,omie
2025-11-04,19,Arganzuela,0.1828,0.2408,punta,0.1828,0.058,omie
2025-11-04,20,Arganzuela,0.1989,0.2626,punta,0.1989,0.0637,omie
2025-11-04,21,Arganzuela,0.1696,0.2174,punta,0.1696,0.0478,omie
