distrito,dias_peligrosos,porcentaje_dias_peligrosos,exposicion_NO2_promedio,exposicion_PM2.5_promedio,exposicion_O3_promedio,nivel_riesgo
Centro,14,3.8,42.7,15.96,65.45,Bajo
Arganzuela,16,4.4,40.91,15.49,65.67,Bajo
Retiro,2,0.5,37.23,13.86,67.94,Bajo
Salamanca,15,4.1,40.26,15.23,65.07,Bajo
Chamartín,3,0.8,36.91,14.03,67.65,Bajo
Tetuán,11,3.0,38.6,14.71,67.21,Bajo
Chamberí,10,2.7,38.54,14.94,65.15,Bajo
Fuencarral-El Pardo,1,0.3,32.95,12.48,68.37,Bajo
Moncloa-Aravaca,3,0.8,34.94,13.15,67.64,Bajo
Latina,6,1.6,36.58,13.77,66.53,Bajo
Carabanchel,9,2.5,38.32,14.68,67.03,Bajo
Usera,14,3.8,40.72,15.7,65.69,Bajo
Puente de Vallecas,16,4.4,42.69,15.88,66.24,Bajo
Moratalaz,11,3.0,36.64,14.14,68.71,Bajo
Ciudad Lineal,6,1.6,36.69,13.96,66.27,Bajo
Hortaleza,3,0.8,34.64,13.43,67.23,Bajo
Villaverde,15,4.1,40.28,15.31,65.25,Bajo
Villa de Vallecas,11,3.0,40.67,15.15,66.25,Bajo
Vicálvaro,6,1.6,36.77,13.88,66.51,Bajo
San Blas-Canillejas,3,0.8,36.5,13.94,66.25,Bajo
Barajas,1,0.3,33.05,12.58,67.11,Bajo
